BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE
Brokered by Cohen And Cohen Consulting,Condo for sale,469888,2,2,1164,152 Tier St Apt 211C,"Bronx, NY 10464"
Brokered by Ubiq,Co-op for sale,310000,2,1,2184.207862,655 Riverside Dr Apt 5A,"New York, NY 10031"
Brokered by Brown Harris Stevens,Co-op for sale,479000,1,1,2184.207862,335 W 85th St Apt 4A,"Manhattan, NY 10024"
Brokered by Winzone Realty Inc,House for sale,1290000,4,3,2184.207862,141-03 15th Ave,"Whitestone, NY 11357"
Brokered by COMPASS,Townhouse for sale,4250000,3,4,3376,189 Prospect Pl Apt 1,"Brooklyn, NY 11238"
Brokered by COMPASS,Townhouse for sale,7400000,4,2.373860858,3700,413 Degraw St,"Brooklyn, NY 11217"
Brokered by COMPASS,House for sale,899000,3,2,2184.207862,46-02 190th St,"Flushing, NY 11358"
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,16500000,2,2,5834,245 W 18th St,"New York, NY 10011"
Brokered by Joyce Realty,Co-op for sale,659000,3,2,1300,3 Edgewater Park Unit 3A,"Bronx, NY 10465"
Brokered by Fave Realty Inc,House for sale,1150000,5,3,2184.207862,162-31 91st St,"Howard Beach, NY 11414"
Brokered by Sowae Corp,Multi-family home for sale,499000,5,2,2184.207862,752 Rutland Rd,"Brooklyn, NY 11203"
Brokered by Landmark Realty,House for sale,725000,3,2,1476,480 Lynn St,"Staten Island, NY 10306"
Brokered by Century Homes Realty Group LLC,Condo for sale,929000,3,2,2184.207862,24010A Oak Park Dr Unit 23A,"Douglaston, NY 11362"
Brokered by Magic Of Great Neck Realty Inc,Co-op for sale,629000,2,2,1600,27110 Grand Central Pkwy Apt 22N,"Floral Park, NY 11005"
"Brokered by Robert Defalco Realty, Inc.",House for sale,285000,3,1,1428,72 Holland Ave,"Staten Island, NY 10303"
Brokered by NextHome Empire,Co-op for sale,315000,2,1,2184.207862,21-48 35th St Unit 5G,"Astoria, NY 11105"
Brokered by E Realty International Corp,Condo for sale,698000,2,2,824,142-18 38th Ave Unit 7D,"Flushing, NY 11354"
Brokered by S H V Real Estate Corp,House for sale,849000,4,3,2184.207862,87-01 Commonwealth Blvd,"Bellerose, NY 11426"
Brokered by COMPASS,Townhouse for sale,1775000,6,4,4900,642 W 207th St,"Manhattan, NY 10034"
Brokered by Sotheby's International Realty - Downtown Manhattan,Townhouse for sale,3850000,4,2,2160,420 E 84th St,"New York, NY 10028"
Brokered by Brown Harris Stevens - 1926 Broadway,Condo for sale,4500000,5,4,3180,377 Rector Pl Ph B,"Manhattan, NY 10280"
Brokered by Elite Real Estate Group 1 Llc,House for sale,465000,2,2,988,659 Wilcox Ave,"Bronx, NY 10465"
Brokered by Wonica REALTORS & Appraisers,Contingent,869900,4,2,2280,25 Copley St,"Staten Island, NY 10314"
Brokered by BESMATCH REAL ESTATE,Multi-family home for sale,699000,3,2.373860858,2034,2728 Hone Ave,"Bronx, NY 10469"
Brokered by Ditommaso Real Estate,House for sale,799000,3,2,864,310 Montreal Ave,"Staten Island, NY 10306"
Brokered by Great Riches Realty,Condo for sale,290000,1,1,2184.207862,65-50 Wetherole St Unit Lv,"Rego Park, NY 11374"
Brokered by Keller Williams Realty Group,House for sale,575000,5,3,2076,627 E 236th St,"Bronx, NY 10466"
Brokered by Great Riches Realty,Condo for sale,290000,1,1,2184.207862,65-50 Wetherole St Unit Lv,"Rego Park, NY 11374"
Brokered by Blue Sky Realty Group LLC,Pending,500000,5,3,2472,1158 54th St,"Brooklyn, NY 11219"
Brokered by Diamond Real Inc,House for sale,2750000,3,5,4600,2317 E 63rd St,"Brooklyn, NY 11234"
Brokered by Keller Williams NYC,Condo for sale,495000,2,1,766,69 Bennett Ave Apt 509,"New York, NY 10033"
Brokered by Pemberley Estates Inc.,Multi-family home for sale,1199000,4,4,2279,158 Cloverdale Ave,"Staten Island, NY 10308"
Brokered by Brown Harris Stevens- 3531 Johnson Avenue,Co-op for sale,605000,3,2,1500,2575 Palisade Ave Apt 1L,"Bronx, NY 10463"
Brokered by COMPASS,Co-op for sale,550000,2,1,2184.207862,611 41st St Apt L,"Brooklyn, NY 11232"
Brokered by Direct Access Real Estate Inc,House for sale,768000,3,2,1065,32-50 204th St,"Bayside, NY 11361"
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo for sale,2099000,3,2,1711,100 Jay St Apt 16A,"Brooklyn, NY 11201"
Brokered by RE MAX City Square,Co-op for sale,575000,3,2,1480,3903 Nostrand Ave Apt 5P,"Brooklyn, NY 11235"
Brokered by Exp Realty,House for sale,639000,3,2,1224,2919 Greene Pl,"Bronx, NY 10465"
Brokered by The Agency,Co-op for sale,525000,3,1,2184.207862,180 W End Ave Apt 19P,"New York, NY 10023"
Brokered by RE MAX Edge,House for sale,850000,3,2.373860858,2160,167 Mills Ave,"Staten Island, NY 10305"
Brokered by Exp Realty,Multi-family home for sale,674999,5,2,2600,1463 Longfellow Ave,"Bronx, NY 10460"
Brokered by KUS Realty Premier Inc,Condo for sale,345000,1,1,2184.207862,172-31 Highland Ave Unit 2A,"Jamaica, NY 11432"
Brokered by Fillmore Real Estate,Multi-family home for sale,788888,5,2,3443,1125 E 57th St,"Brooklyn, NY 11234"
Brokered by Madison Estates Sotheby's International Realty,Co-op for sale,379000,2,2,1160,3215 Avenue H Apt 3P,"Brooklyn, NY 11210"
Brokered by Douglas Elliman - 575 Madison Ave,Pending,1495000,1,1,814,9 Dekalb Ave Unit 55D,"Brooklyn, NY 11201"
Brokered by RE MAX Real Estate Professionals,Pending,2288000,4,3,1788,1024 82nd St,"Brooklyn, NY 11228"
Brokered by Charles Rutenberg Realty Inc,Multi-family home for sale,699000,4,2,2184.207862,85-30 101st St,"Richmond Hill, NY 11418"
Brokered by Fave Realty Inc,Co-op for sale,250000,1,1,900,3017 Riverdale Ave Apt 1F,"Bronx, NY 10463"
Brokered by Scy Realty Team Corp,House for sale,1120000,3,2,2184.207862,263-07 57th Ave,"Little Neck, NY 11362"
Brokered by COMPASS,Townhouse for sale,25000000,7,2.373860858,20000,11 Hubert St,"Manhattan, NY 10013"
Brokered by E Realty International Corp,House for sale,858000,2,2,2184.207862,52-37 84th St,"Elmhurst, NY 11373"
Brokered by Corcoran East Side,Co-op for sale,1275000,1,1,1000,521 W 47th St Apt 2B,"New York, NY 10036"
Brokered by Ben Bay Realty Company of Staten Island LLC,House for sale,1070000,4,2,2192,146 Major Ave,"Staten Island, NY 10305"
Brokered by COMPASS,Townhouse for sale,4800000,10,4,5353,407 3rd St,"Brooklyn, NY 11215"
Brokered by COMPASS,Townhouse for sale,14600000,6,2.373860858,6630,122 W 73rd St,"Manhattan, NY 10023"
Brokered by COMPASS,Co-op for sale,895000,2,2,2184.207862,202 W 78th St Apt 2E,"Manhattan, NY 10024"
Brokered by Keller Williams Realty NYC Grp,House for sale,1250000,6,3,2400,1316 Kearney Ave,"Bronx, NY 10465"
Brokered by Winzone Realty Inc,Multi-family home for sale,1788000,6,5,2184.207862,136-08 Elder Ave,"Flushing, NY 11355"
Brokered by Home Global Realty,Multi-family home for sale,799000,4,3,1344,8519 Glenwood Rd,"Brooklyn, NY 11236"
Brokered by Prime Realty,House for sale,879000,3,2,2184.207862,66-18 Gray St,"Middle Village, NY 11379"
"Brokered by Robert Defalco Realty, Inc.",Multi-family home for sale,963000,4,4,2400,3 Craig Ave,"Staten Island, NY 10307"
Brokered by RE MAX Edge,Multi-family home for sale,998000,11,6,2184.207862,3724 Flatlands Ave,"Brooklyn, NY 11234"
Brokered by The Agency,Co-op for sale,950000,2,1,1000,140 W End Ave Apt 7B,"New York, NY 10023"
Brokered by Cross Country Realty,Condo for sale,410000,2,1,2184.207862,85 Elmwood Park Dr Apt 60,"Staten Island, NY 10314"
Brokered by Agency Real Estate Services Llc,Co-op for sale,269000,1,1,900,170-40 Highland Ave Unit 404,"Jamaica, NY 11432"
Brokered by Douglas Elliman  -111 Fifth Ave,House for sale,8500000,7,6,7000,19 Vestry St,"New York, NY 10013"
Brokered by EXIT REALTY FIRST CHOICE,Multi-family home for sale,1195000,11,6,2184.207862,2312 Beaumont Ave,"Bronx, NY 10458"
Brokered by Garden Square Realty,Co-op for sale,550000,2,1,1069,4 Dartmouth St Apt 71,"Forest Hills, NY 11375"
Brokered by EXIT REALTY TOP PROPERTIES,Multi-family home for sale,2800000,16,16,10720,1570 66th St,"Brooklyn, NY 11219"
Brokered by East Point Realty LLC,Multi-family home for sale,940000,9,4,2184.207862,146-13 105th Ave,"Jamaica, NY 11435"
Brokered by Landmark International R E Llc,House for sale,865000,3,3,2184.207862,50-39 61st St,"Woodside, NY 11377"
Brokered by Coldwell Banker Warburg,Condo for sale,7995000,3,4,4412,45 E 30th St # B,"New York, NY 10016"
Brokered by Coldwell Banker Advantage,House for sale,690000,3,2,1284,112 Pearsall St,"Staten Island, NY 10305"
Brokered by Sold By Bart R E Partners Inc,Co-op for sale,330000,3,1,2184.207862,83-20 98th St Unit 1U,"Woodhaven, NY 11421"
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,8750000,7,8,5000,241 W 4th St,"New York, NY 10014"
Brokered by Nyc Realty Brokers Llc,Co-op for sale,619000,2,2,1200,200 Corbin Pl Apt 5N,"Brooklyn, NY 11235"
"Brokered by Robert Defalco Realty, Inc.",House for sale,899000,3,1,1050,159 Lander Ave,"Staten Island, NY 10314"
Brokered by Elegran Real Estate And Development,House for sale,1175000,2,2,1144,4 78th St,"Brooklyn, NY 11209"
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,2999000,8,2.373860858,6000,7923 12th Ave,"Brooklyn, NY 11228"
Brokered by Corcoran West Side Gallery,Condo for sale,1395000,2,2,1793,253 W 73rd St Apt 4F,"New York, NY 10023"
Brokered by Brown Harris Stevens - 129 Montague Street,Co-op for sale,800000,2,2,2184.207862,3442 80th St Apt 32,"Queens, NY 11372"
Brokered by RE MAX Edge,Co-op for sale,499000,2,1,686,430 W 46th St Apt 5E,"Manhattan, NY 10036"
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,1625000,4,4,2743,269 W 87th St Apt 7A,"New York, NY 10024"
Brokered by Skylight Real Estate Consultan,House for sale,799999,3,3,1444,106-10 217th St,"Jamaica, NY 11429"
Brokered by Better Homes and Gardens Real Estate Safari Realty,House for sale,1139000,4,4,3150,950 Huguenot Ave,"Staten Island, NY 10312"
Brokered by DEBTFREESOLUTIONS LLC,House for sale,529000,3,2,1650,401 Harding Park,"Bronx, NY 10473"
Brokered by ROBERT DEFALCO REALTY INC,Co-op for sale,300000,3,1,1200,2741 E 28th St Apt 4D,"Brooklyn, NY 11235"
Brokered by RE MAX Edge,House for sale,799000,5,4,1802,8648 26th Ave,"Brooklyn, NY 11214"
Brokered by Han Tang Realty Inc.,Multi-family home for sale,869000,6,3,1526,1032 Rhinelander Ave,"Bronx, NY 10461"
Brokered by Today Realty Corp.,House for sale,749000,3,2,1480,1238 Pinchot Pl,"Bronx, NY 10461"
Brokered by Re/Max In The City,Co-op for sale,240900,2,1,875,2390 Palisade Ave Apt 4K,"Bronx, NY 10463"
Brokered by Winzone Realty Inc,House for sale,1295000,3,1,2184.207862,47-17 39th Ave,"Sunnyside, NY 11104"
Brokered by Ideal Properties Realty,Pending,3850000,8,6,6200,1121 E 22nd St,"Brooklyn, NY 11210"
Brokered by RE MAX Real Estate Professionals,House for sale,549000,5,2,1716,921 Nugent Ave,"Staten Island, NY 10306"
Brokered by Houlihan Lawrence,Co-op for sale,129000,1,1,750,4315 Webster Ave Apt 3J,"Bronx, NY 10470"
"Brokered by Homes R Us Realty of NY, Inc.",House for sale,475000,3,2,900,131 Roff St,"Staten Island, NY 10304"
Brokered by Century 21 Realty First,Multi-family home for sale,980000,4,3,1408,1957 Ryder St,"Brooklyn, NY 11234"
Brokered by RE MAX Edge,Multi-family home for sale,1199000,4,2,1824,1511 85th St,"Brooklyn, NY 11228"
Brokered by Keller Williams Legendary,Townhouse for sale,1299999,5,5,3134,64-14 Beach Front Rd,"Arverne, NY 11692"
Brokered by RE MAX Distinguished Homes & Properties,Co-op for sale,265000,2,1,1100,1750 E 14th St Apt L4,"Brooklyn, NY 11229"
Brokered by Keller Williams NYC,Co-op for sale,262500,1,1,2184.207862,750 Kappock St Apt 502,"Bronx, NY 10463"
"Brokered by Robert Defalco Realty, Inc.",House for sale,2699000,7,6,11250,100 Wadsworth Rd,"Staten Island, NY 10305"
Brokered by Today Realty Corp.,House for sale,1200000,4,4,3300,2217 Gunther Ave,"Bronx, NY 10469"
Brokered by COMPASS,Co-op for sale,850000,1,1,2184.207862,32 Downing St Apt 2D,"Manhattan, NY 10014"
"Brokered by Robert Defalco Realty, Inc.",House for sale,2699000,7,6,11250,100 Wadsworth Rd,"Staten Island, NY 10305"
Brokered by Encore Real Estate LLC,House for sale,989000,6,4,2720,153 Johnson Ave,"Staten Island, NY 10307"
Brokered by Today Realty Corp.,House for sale,1200000,4,4,3300,2217 Gunther Ave,"Bronx, NY 10469"
Brokered by CENTURY 21 Galvez,Multi-family home for sale,899999,5,3,1800,263 W 254th St,"Bronx, NY 10471"
Brokered by United Realty Associates,House for sale,2780000,5,6,3045,150-32 Sullivan Dr,"Whitestone, NY 11357"
Brokered by COMPASS,Co-op for sale,999000,2,1,1050,215 W 92nd St Apt 5F,"Manhattan, NY 10025"
Brokered by Our Community Realty Ltd,Multi-family home for sale,699000,6,2,2184.207862,1441 Troy Ave,"Brooklyn, NY 11203"
Brokered by COMPASS,Condo for sale,60000,3,1,445,2 E 55th St Unit 809W35,"Manhattan, NY 10022"
Brokered by Premier Homes Pros,House for sale,499999,4,2,1248,44 Montell St,"Staten Island, NY 10302"
Brokered by Momentum Real Estate Llc,House for sale,599999,3,2,1272,67 Reynolds St,"Staten Island, NY 10305"
Brokered by RE MAX Elite,House for sale,725000,4,2,2000,328 Manor Rd,"Staten Island, NY 10314"
"Brokered by BEN BAY REALTY CO OF BAY RIDGE, LLC",House for sale,998888,3,2,1780,9954 Fort Hamilton Pkwy,"Brooklyn, NY 11209"
Brokered by RE MAX Edge,Multi-family home for sale,980000,3,4,2700,1 Opal Ct,"Brooklyn, NY 11229"
Brokered by Sold By Bart R E Partners Inc,House for sale,800000,3,2,2184.207862,69-10 Penelope Ave,"Middle Village, NY 11379"
Brokered by CENTURY 21 Marciano,House for sale,1299000,3,4,4450,610 City Island Ave,"Bronx, NY 10464"
Brokered by Madison Estates Sotheby's International Realty,House for sale,799000,3,2,1128,1557 E 34th St,"Brooklyn, NY 11234"
Brokered by Elite Real Estate Group 1 Llc,House for sale,995000,3,2,3080,1870 Haight Ave,"Bronx, NY 10461"
Brokered by Ashford Homes LLC,House for sale,1250000,5,3,2295,1923 66th St,"Brooklyn, NY 11204"
Brokered by Tiffany Moves You Inc,Multi-family home for sale,1275000,3,4,2184.207862,43-02 Orient Ave,"Douglaston, NY 11363"
Brokered by YourHomeSold Guarantee Realty,Multi-family home for sale,749999,6,3,3150,1817 Amethyst St,"Bronx, NY 10462"
Brokered by Serhant,Townhouse for sale,2650000,5,4,4100,259 New York Ave,"Brooklyn, NY 11216"
Brokered by Yoreevo,Co-op for sale,999000,2,1,2184.207862,139 W 85th St Apt 3,"New York, NY 10024"
Brokered by Sold By Bart R E Partners Inc,Co-op for sale,279000,2,1,2184.207862,84-70 129th St Unit 1V,"Kew Gardens, NY 11415"
Brokered by Ditommaso Real Estate,Condo for sale,479000,2,2,1008,57 Stone Ln Unit 2,"Staten Island, NY 10314"
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,2300000,2,2,1600,242 E 7th St Unit Ph,"New York, NY 10009"
Brokered by Signature Premier Properties,Pending,294000,1,2,1074,26910 Grand Central Pkwy Apt 15A,"Floral Park, NY 11005"
Brokered by Exp Realty,Multi-family home for sale,1390000,6,5,2245,104-30 219th St,"Jamaica, NY 11429"
Brokered by COMPASS,Co-op for sale,450000,3,2,1026,97-10 62nd Dr Unit 8E,"Rego Park, NY 11374"
Brokered by Bond New York- Columbus Circle,Co-op for sale,999000,3,2,2184.207862,203 W 102nd St Apt 1F,"New York, NY 10025"
"Brokered by Robert Defalco Realty, Inc.",House for sale,1999000,4,4,3420,221 Benedict Rd,"Staten Island, NY 10304"
Brokered by BLACKWATER ASSOCIATES INC,Mobile house for sale,1288000,6,3,2184.207862,31-50 Buell St,"East Elmhurst, NY 11369"
NoBroker,Multi-family home for sale,639888,5,3,1376,226 Dover Grn,"Staten Island, NY 10312"
Brokered by COMPASS,House for sale,569900,4,2,2180,69 Sherman Ave,"Staten Island, NY 10301"
Brokered by Sweet Key Realty Group Inc,House for sale,1630000,7,4,2184.207862,47-34 Glenwood St,"Little Neck, NY 11362"
Brokered by EXIT REALTY ACHIEVE,Multi-family home for sale,689888,3,2,1300,11431 120th St,"South Ozone Park, NY 11420"
Brokered by E Realty International Corp,Co-op for sale,378000,2,1,2184.207862,150-10 Melbourne Ave Unit 368A,"Flushing, NY 11367"
Brokered by Corcoran Westside Columbus,Townhouse for sale,23900000,6,2.373860858,7110,248 W 71st St,"New York, NY 10023"
Brokered by O Kane Realty,Co-op for sale,149000,1,1,2184.207862,112-50 Northern Blvd Unit 1E,"Corona, NY 11368"
Brokered by Re/Max Edge,House for sale,589000,4,3,1320,92 Arlington Pl,"Staten Island, NY 10303"
Brokered by ProBase Real Estate,Pending,958000,3,2,2259,50 Tyndale St,"Staten Island, NY 10312"
Brokered by East Coast REALTORS Inc,Co-op for sale,195000,1,1,2184.207862,44-20 Douglaston Pkwy Unit 2G,"Douglaston, NY 11363"
Brokered by Comfort Homes Realty Group,House for sale,299000,1,1,608,51 Seafoam St,"Staten Island, NY 10306"
Brokered by RE MAX 1st Choice,House for sale,1750000,4,4,3645,2-11 147 St,"Whitestone, NY 11357"
Brokered by Douglas Elliman - Bayside,Townhouse for sale,815000,3,2,2184.207862,62-14 80th St,"Middle Village, NY 11379"
Brokered by Best American Homes Inc,Multi-family home for sale,989000,5,3,2184.207862,34-21 83rd St,"Jackson Heights, NY 11372"
Brokered by Corcoran Park Slope,Condo for sale,1075000,2,2,2184.207862,357 W 30th St # 5/6,"New York, NY 10001"
Brokered by Douglas Elliman - 3544 Johnson Ave,House for sale,879000,2,1,1000,1175 York Ave Apt 7B,"New York, NY 10065"
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,999995,2,1,2184.207862,126 E 12th St Apt 6A,"New York, NY 10003"
"Brokered by Robert E. Hill, Inc.",Co-op for sale,430000,2,2,1200,2727 Palisade Ave Apt 5B,"Bronx, NY 10463"
NoBroker,Co-op for sale,445000,3,2,2184.207862,138-10 Franklin Ave Unit 1K,"Flushing, NY 11355"
Brokered by RE MAX Real Estate Professionals,House for sale,999000,3,2,1900,1123 Bay Ridge Pkwy,"Brooklyn, NY 11228"
Brokered by Keller Williams Realty Greater Nassau,House for sale,2299000,6,4,2184.207862,99-07 70th Ave,"Forest Hills, NY 11375"
Brokered by Tapestry Real Estate of Queens,House for sale,1225000,4,2,1960,36-19 217 St,"Bayside, NY 11361"
Brokered by EXIT REALTY ONE,House for sale,849000,3,2,2184.207862,85-05 Eliot Ave,"Rego Park, NY 11374"
Brokered by Winzone Realty Inc,House for sale,1350000,4,3,1760,75-57 186th St,"Fresh Meadows, NY 11366"
"Brokered by NEUHAUS REALTY, INC.",House for sale,1600000,4,4,3150,780 Ionia Ave,"Staten Island, NY 10312"
Brokered by COMPASS,Condo for sale,600000,3,1,441,1 Central Park W Unit 612,"Manhattan, NY 10023"
Brokered by Douglas Elliman - 140 Franklin,Co-op for sale,435000,3,1,2184.207862,269 W 72nd St Apt 12D,"New York, NY 10023"
"Brokered by Compass Greater New York, LLC",Pending,4999999,4,4,4342,8002 Harbor View Ter,"Brooklyn, NY 11209"
Brokered by Corcoran East Side,Pending,800000,3,2.373860858,2184.207862,1433 E 105th St,"Brooklyn, NY 11236"
"Brokered by Compass Greater New York, LLC",Co-op for sale,329000,1,1,750,302 96th St Apt 4L,"Brooklyn, NY 11209"
Brokered by Brown Harris Stevens,Townhouse for sale,10975000,3,4,2184.207862,12 College Pl Unit Townhouse,"Brooklyn, NY 11201"
Brokered by Keystone Realty USA Corp,House for sale,599000,4,2,2184.207862,106-09 169th St,"Jamaica, NY 11433"
Brokered by Chase Global Realty Corp,House for sale,699999,4,2,2184.207862,18 Pine St,"Brooklyn, NY 11208"
Brokered by Keller Williams Rlty Landmark,Pending,539000,1,1,725,207-07 Estates Dr Unit 1,"Bayside, NY 11360"
Brokered by ETPG - Eastpointe Properties Group,Co-op for sale,370000,3,1,2184.207862,35 E 30th St Apt 6D,"New York, NY 10016"
Brokered by BRPI - Brooklyn Real Property,Townhouse for sale,1499000,9,6,2184.207862,2619 Shore Pkwy,"Brooklyn, NY 11223"
Brokered by Douglas Elliman - 1995 Broadway,Co-op for sale,299000,1,1,2184.207862,318 W 36th St Apt 3A,"New York, NY 10018"
Brokered by NEUHAUS REALTY INC.,House for sale,2400000,5,4,3800,57 Mace St,"Staten Island, NY 10306"
Brokered by Avenues - Headquarters,Condo for sale,275000,1,1,850,3202 Nostrand Ave Apt 6E,"Brooklyn, NY 11229"
Brokered by Brown Harris Stevens - 1926 Broadway,Co-op for sale,1395000,3,3,1750,789 W End Ave Unit 1A2,"Manhattan, NY 10025"
Brokered by EXIT REALTY TOP PROPERTIES,Condo for sale,568000,2,1,550,1759 Bay Ridge Pkwy Unit 3E,"Brooklyn, NY 11204"
